       X                   F1                  F2                  F3                  F4                  F5                  F6                  F7              q-mean(x)    
  6.000000e-03        9.230030e-03        1.050000e-01        3.850000e-01        4.417199e-01        5.700000e-02        2.050000e-03        1.701000e-08        3.438410e+00  
  6.140000e-03        9.589277e-03        1.072362e-01        3.869550e-01        4.367745e-01        5.734448e-02        2.100264e-03        2.247664e-07        3.431350e+00  
  6.280000e-03        9.953457e-03        1.094646e-01        3.888283e-01        4.319353e-01        5.766784e-02        2.150070e-03        4.331991e-07        3.424351e+00  
  6.420000e-03        1.032245e-02        1.116845e-01        3.906225e-01        4.271997e-01        5.797079e-02        2.199395e-03        6.422468e-07        3.417412e+00  
  6.560000e-03        1.069615e-02        1.138955e-01        3.923402e-01        4.225650e-01        5.825404e-02        2.248217e-03        8.518476e-07        3.410533e+00  
  6.700000e-03        1.107442e-02        1.160970e-01        3.939840e-01        4.180286e-01        5.851829e-02        2.296515e-03        1.061938e-06        3.403713e+00  
  6.840000e-03        1.145716e-02        1.182886e-01        3.955564e-01        4.135881e-01        5.876418e-02        2.344269e-03        1.272455e-06        3.396951e+00  
  6.980000e-03        1.184424e-02        1.204698e-01        3.970596e-01        4.092410e-01        5.899236e-02        2.391462e-03        1.483335e-06        3.390248e+00  
  7.120000e-03        1.223553e-02        1.226403e-01        3.984961e-01        4.049848e-01        5.920346e-02        2.438077e-03        1.694511e-06        3.383601e+00  
  7.260000e-03        1.263094e-02        1.247996e-01        3.998680e-01        4.008173e-01        5.939806e-02        2.484099e-03        1.905921e-06        3.377012e+00  
  7.400000e-03        1.303032e-02        1.269474e-01        4.011776e-01        3.967363e-01        5.957675e-02        2.529514e-03        2.117498e-06        3.370479e+00  
  7.540000e-03        1.343357e-02        1.290833e-01        4.024268e-01        3.927396e-01        5.974009e-02        2.574308e-03        2.329178e-06        3.364001e+00  
  7.680000e-03        1.384056e-02        1.312070e-01        4.036178e-01        3.888250e-01        5.988863e-02        2.618472e-03        2.540895e-06        3.357580e+00  
  7.820000e-03        1.425119e-02        1.333182e-01        4.047524e-01        3.849905e-01        6.002290e-02        2.661993e-03        2.752587e-06        3.351213e+00  
  7.960000e-03        1.466532e-02        1.354167e-01        4.058326e-01        3.812340e-01        6.014341e-02        2.704862e-03        2.964187e-06        3.344900e+00  
  8.100000e-03        1.508284e-02        1.375022e-01        4.068603e-01        3.775537e-01        6.025065e-02        2.747071e-03        3.175633e-06        3.338641e+00  
  8.240000e-03        1.550364e-02        1.395744e-01        4.078372e-01        3.739477e-01        6.034510e-02        2.788612e-03        3.386861e-06        3.332435e+00  
  8.380000e-03        1.592760e-02        1.416331e-01        4.087650e-01        3.704140e-01        6.042723e-02        2.829479e-03        3.597809e-06        3.326283e+00  
  8.520000e-03        1.635460e-02        1.436781e-01        4.096454e-01        3.669509e-01        6.049749e-02        2.869664e-03        3.808414e-06        3.320183e+00  
  8.660000e-03        1.678454e-02        1.457093e-01        4.104800e-01        3.635567e-01        6.055630e-02        2.909164e-03        4.018615e-06        3.314134e+00  
  8.800000e-03        1.721729e-02        1.477264e-01        4.112704e-01        3.602296e-01        6.060409e-02        2.947974e-03        4.228352e-06        3.308138e+00  
  8.940000e-03        1.765274e-02        1.497293e-01        4.120181e-01        3.569680e-01        6.064128e-02        2.986091e-03        4.437565e-06        3.302192e+00  
  9.080000e-03        1.809080e-02        1.517178e-01        4.127246e-01        3.537704e-01        6.066824e-02        3.023511e-03        4.646196e-06        3.296296e+00  
  9.220000e-03        1.853133e-02        1.536918e-01        4.133913e-01        3.506351e-01        6.068537e-02        3.060233e-03        4.854186e-06        3.290451e+00  
  9.360000e-03        1.897424e-02        1.556512e-01        4.140195e-01        3.475606e-01        6.069304e-02        3.096254e-03        5.061480e-06        3.284656e+00  
  9.500000e-03        1.941942e-02        1.575959e-01        4.146107e-01        3.445455e-01        6.069160e-02        3.131574e-03        5.268021e-06        3.278910e+00  
  9.640000e-03        1.986676e-02        1.595258e-01        4.151661e-01        3.415883e-01        6.068140e-02        3.166193e-03        5.473755e-06        3.273212e+00  
  9.780000e-03        2.031616e-02        1.614408e-01        4.156869e-01        3.386876e-01        6.066277e-02        3.200111e-03        5.678629e-06        3.267563e+00  
  9.920000e-03        2.076751e-02        1.633408e-01        4.161743e-01        3.358421e-01        6.063604e-02        3.233328e-03        5.882590e-06        3.261962e+00  
