       X                   F4                  F5                  F6                  F7                  F8              q-mean(x)    
  1.000000e-03        1.000000e+00       -8.000000e-07        0.000000e+00        5.000000e-08        1.900000e-09        3.999996e+00  
  8.495000e-03        9.732944e-01        2.654808e-02        1.566734e-04        1.113989e-07        1.749065e-09        4.026859e+00  
  1.599000e-02        9.473266e-01        5.205416e-02        6.179300e-04        5.360718e-07        1.681752e-09        4.053289e+00  
  2.348500e-02        9.220761e-01        7.655059e-02        1.370935e-03        1.672412e-06        1.906557e-09        4.079295e+00  
  3.098000e-02        8.975226e-01        1.000696e-01        2.403272e-03        3.853067e-06        2.763133e-09        4.104885e+00  
  3.847500e-02        8.736467e-01        1.226423e-01        3.702928e-03        7.395463e-06        4.715815e-09        4.130068e+00  
  4.597000e-02        8.504294e-01        1.442990e-01        5.258285e-03        1.260232e-05        8.347366e-09        4.154851e+00  
  5.346500e-02        8.278523e-01        1.650692e-01        7.058105e-03        1.976213e-05        1.435294e-08        4.179242e+00  
  6.096000e-02        8.058974e-01        1.849813e-01        9.091521e-03        2.914967e-05        2.353426e-08        4.203249e+00  
  6.845500e-02        7.845473e-01        2.040630e-01        1.134802e-02        4.102641e-05        3.679400e-08        4.226880e+00  
  7.595000e-02        7.637851e-01        2.223411e-01        1.381745e-02        5.564104e-05        5.513035e-08        4.250141e+00  
  8.344500e-02        7.435944e-01        2.398417e-01        1.648998e-02        7.322984e-05        7.963179e-08        4.273039e+00  
  9.094000e-02        7.239591e-01        2.565900e-01        1.935612e-02        9.401713e-05        1.114721e-07        4.295582e+00  
  9.843500e-02        7.048638e-01        2.726106e-01        2.240668e-02        1.182157e-04        1.519053e-07        4.317777e+00  
  1.059300e-01        6.862933e-01        2.879271e-01        2.563279e-02        1.460271e-04        2.022612e-07        4.339629e+00  
  1.134250e-01        6.682330e-01        3.025626e-01        2.902589e-02        1.776423e-04        2.639409e-07        4.361146e+00  
  1.209200e-01        6.506686e-01        3.165396e-01        3.257768e-02        2.132416e-04        3.384121e-07        4.382334e+00  
  1.284150e-01        6.335863e-01        3.298796e-01        3.628017e-02        2.529956e-04        4.272051e-07        4.403199e+00  
  1.359100e-01        6.169725e-01        3.426037e-01        4.012562e-02        2.970650e-04        5.319090e-07        4.423746e+00  
